,sepal.length,sepal.width,petal.length,petal.width,variety
58,6,2.9,4.6,1.3,Versicolor
59,5,2.7,3.9,1.4,Versicolor
60,5,2.0,3.5,1.0,Versicolor
61,5,3.0,4.2,1.5,Versicolor
62,6,2.2,4.0,1.0,Versicolor
63,6,2.9,4.7,1.4,Versicolor
64,5,2.9,3.6,1.3,Versicolor
65,6,3.1,4.4,1.4,Versicolor
66,5,3.0,4.5,1.5,Versicolor
67,5,2.7,4.1,1.0,Versicolor
68,6,2.2,4.5,1.5,Versicolor
69,5,2.5,3.9,1.1,Versicolor
70,5,3.2,4.8,1.8,Versicolor
71,6,2.8,4.0,1.3,Versicolor
72,6,2.5,4.9,1.5,Versicolor
73,6,2.8,4.7,1.2,Versicolor
74,6,2.9,4.3,1.3,Versicolor
75,6,3.0,4.4,1.4,Versicolor
76,6,2.8,4.8,1.4,Versicolor
77,6,3.0,5.0,1.7,Versicolor
78,6,2.9,4.5,1.5,Versicolor
79,5,2.6,3.5,1.0,Versicolor
80,5,2.4,3.8,1.1,Versicolor
81,5,2.4,3.7,1.0,Versicolor
82,5,2.7,3.9,1.2,Versicolor
83,6,2.7,5.1,1.6,Versicolor
84,5,3.0,4.5,1.5,Versicolor
85,6,3.4,4.5,1.6,Versicolor
86,6,3.1,4.7,1.5,Versicolor
87,6,2.3,4.4,1.3,Versicolor
88,5,3.0,4.1,1.3,Versicolor
89,5,2.5,4.0,1.3,Versicolor
90,5,2.6,4.4,1.2,Versicolor
91,6,3.0,4.6,1.4,Versicolor
92,5,2.6,4.0,1.2,Versicolor
93,5,2.3,3.3,1.0,Versicolor
94,5,2.7,4.2,1.3,Versicolor
95,5,3.0,4.2,1.2,Versicolor
96,5,2.9,4.2,1.3,Versicolor
97,6,2.9,4.3,1.3,Versicolor
98,5,2.5,3.0,1.1,Versicolor
99,5,2.8,4.1,1.3,Versicolor
100,6,3.3,6.0,2.5,Virginica
101,5,2.7,5.1,1.9,Virginica
102,7,3.0,5.9,2.1,Virginica
103,6,2.9,5.6,1.8,Virginica
104,6,3.0,5.8,2.2,Virginica
105,7,3.0,6.6,2.1,Virginica
106,4,2.5,4.5,1.7,Virginica
107,7,2.9,6.3,1.8,Virginica
108,6,2.5,5.8,1.8,Virginica
109,7,3.6,6.1,2.5,Virginica
110,6,3.2,5.1,2.0,Virginica
111,6,2.7,5.3,1.9,Virginica
112,6,3.0,5.5,2.1,Virginica
113,5,2.5,5.0,2.0,Virginica
114,5,2.8,5.1,2.4,Virginica
115,6,3.2,5.3,2.3,Virginica
116,6,3.0,5.5,1.8,Virginica
117,7,3.8,6.7,2.2,Virginica
118,7,2.6,6.9,2.3,Virginica
119,6,2.2,5.0,1.5,Virginica
120,6,3.2,5.7,2.3,Virginica
121,5,2.8,4.9,2.0,Virginica
122,7,2.8,6.7,2.0,Virginica
123,6,2.7,4.9,1.8,Virginica
124,6,3.3,5.7,2.1,Virginica
125,7,3.2,6.0,1.8,Virginica
126,6,2.8,4.8,1.8,Virginica
127,6,3.0,4.9,1.8,Virginica
128,6,2.8,5.6,2.1,Virginica
129,7,3.0,5.8,1.6,Virginica
130,7,2.8,6.1,1.9,Virginica
131,7,3.8,6.4,2.0,Virginica
132,6,2.8,5.6,2.2,Virginica
133,6,2.8,5.1,1.5,Virginica
134,6,2.6,5.6,1.4,Virginica
135,7,3.0,6.1,2.3,Virginica
136,6,3.4,5.6,2.4,Virginica
137,6,3.1,5.5,1.8,Virginica
138,6,3.0,4.8,1.8,Virginica
139,6,3.1,5.4,2.1,Virginica
140,6,3.1,5.6,2.4,Virginica
141,6,3.1,5.1,2.3,Virginica
142,5,2.7,5.1,1.9,Virginica
143,6,3.2,5.9,2.3,Virginica
144,6,3.3,5.7,2.5,Virginica
145,6,3.0,5.2,2.3,Virginica
146,6,2.5,5.0,1.9,Virginica
147,6,3.0,5.2,2.0,Virginica
148,6,3.4,5.4,2.3,Virginica
149,5,3.0,5.1,1.8,Virginica
